year,lga_id,lga,state,zone,lat,lon,pop_6_11,urban,poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,tasso_fuori_scuola,divario_genere_pp,tasso_fuori_scuola_f,tasso_fuori_scuola_m,target_oos_t1,bambini_fuori_scuola
2021,59680162B33775428128459,Shira,Bauchi,North East,11.46,10.054,74290,1,79.63,52.008,4.4,70.278,51.916,51.942,28.293,4,70.322,23.57,60.761,20.672,39.787,-1.67,38.868,40.539,40.896,29558
2022,59680162B33775428128459,Shira,Bauchi,North East,11.46,10.054,74290,1,75.817,45.151,1.621,51.51,59.15,55.237,32.658,6,70.846,24.482,78.759,18.195,40.896,0.81,41.341,40.532,41.3,30382
2023,59680162B33775428128459,Shira,Bauchi,North East,11.46,10.054,74290,1,85.527,58.421,4.926,63.842,54.364,55.254,40.281,1,70.093,24.662,35.325,37.098,41.3,-2.02,40.188,42.21,36.275,30682
2024,59680162B33775428128459,Shira,Bauchi,North East,11.46,10.054,74290,1,81.105,66.021,2.114,59.579,43.835,72.94,25.79,6,73.362,20.396,58.287,15.837,36.275,0.19,36.381,36.188,48.862,26949
2025,59680162B33775428128459,Shira,Bauchi,North East,11.46,10.054,74290,1,86.459,54.572,3.452,53.35,52.998,64.642,24.409,6,61.155,42.276,74.426,15.478,48.862,0.82,49.31,48.495,,36300
2020,59680162B33788323646847,Umuahia South,Abia,South East,5.498,7.428,46192,0,55.46,80.705,0.3,27.477,77.892,86.651,12.281,1,48.851,0.0,60.457,19.174,5.472,-1.63,4.577,6.203,7.688,2527
2021,59680162B33788323646847,Umuahia South,Abia,South East,5.498,7.428,46192,0,67.276,80.339,1.93,37.932,82.087,57.993,11.79,1,54.117,5.214,95.489,24.267,7.688,-1.71,6.75,8.457,3.471,3551
2022,59680162B33788323646847,Umuahia South,Abia,South East,5.498,7.428,46192,0,57.931,96.652,0.772,38.103,67.477,60.37,6.757,0,48.325,8.34,82.244,19.649,3.471,-1.28,2.766,4.047,3.27,1603
2023,59680162B33788323646847,Umuahia South,Abia,South East,5.498,7.428,46192,0,60.053,81.195,0.21,42.304,76.822,81.808,6.671,0,36.402,2.566,88.423,15.075,3.27,-0.17,3.176,3.347,5.254,1510
2024,59680162B33788323646847,Umuahia South,Abia,South East,5.498,7.428,46192,0,53.214,75.086,2.4,26.696,73.008,83.141,17.372,0,39.591,0.0,82.414,18.595,5.254,-1.84,4.24,6.083,5.243,2427
2025,59680162B33788323646847,Umuahia South,Abia,South East,5.498,7.428,46192,0,52.487,79.963,0.2,40.201,92.962,85.423,13.365,0,33.571,6.126,88.805,21.778,5.243,-0.53,4.95,5.483,,2422
2020,59680162B33993495702938,Jalingo,Taraba,North East,8.932,11.34,97067,0,95.086,41.238,3.451,60.784,36.834,34.101,26.444,10,64.727,16.627,32.317,12.26,57.812,0.9,58.307,57.408,50.337,56117
2021,59680162B33993495702938,Jalingo,Taraba,North East,8.932,11.34,97067,0,85.721,50.696,4.235,67.67,34.422,31.855,30.354,10,64.688,41.748,53.492,20.355,50.337,2.89,51.927,49.036,50.962,48861
2022,59680162B33993495702938,Jalingo,Taraba,North East,8.932,11.34,97067,0,91.848,42.144,4.689,53.153,57.796,53.966,24.772,6,48.436,36.554,44.504,9.62,50.962,-0.02,50.953,50.97,46.38,49467
2023,59680162B33993495702938,Jalingo,Taraba,North East,8.932,11.34,97067,0,89.135,25.711,4.609,56.906,40.788,61.925,28.872,5,45.047,23.581,58.993,20.626,46.38,3.86,48.503,44.644,56.223,45020
2024,59680162B33993495702938,Jalingo,Taraba,North East,8.932,11.34,97067,0,86.385,46.487,4.514,58.954,32.563,32.746,20.521,5,99.416,17.409,51.604,24.143,56.223,1.05,56.803,55.748,49.405,54574
2025,59680162B33993495702938,Jalingo,Taraba,North East,8.932,11.34,97067,0,85.136,42.961,1.808,46.702,23.307,44.323,29.529,6,72.409,34.821,59.407,25.587,49.405,0.82,49.854,49.038,,47956
2020,59680162B34366982763718,Ado,Benue,North Central,6.764,8.021,36362,1,54.438,65.034,2.136,48.427,44.06,83.936,17.498,2,29.124,12.356,81.402,39.723,25.182,-2.95,23.562,26.508,25.561,9157
2021,59680162B34366982763718,Ado,Benue,North Central,6.764,8.021,36362,1,64.691,56.479,2.142,36.539,62.674,78.666,17.398,4,57.065,6.656,66.903,21.816,25.561,0.32,25.74,25.415,26.397,9295
2022,59680162B34366982763718,Ado,Benue,North Central,6.764,8.021,36362,1,67.647,53.21,1.683,34.636,57.627,74.395,27.129,1,51.386,17.62,83.493,29.798,26.397,-0.46,26.145,26.603,22.088,9599
2023,59680162B34366982763718,Ado,Benue,North Central,6.764,8.021,36362,1,65.198,64.855,1.623,42.34,47.351,71.391,19.109,0,34.863,21.5,76.193,12.458,22.088,1.9,23.132,21.233,29.795,8032
2024,59680162B34366982763718,Ado,Benue,North Central,6.764,8.021,36362,1,75.33,71.971,2.953,48.747,58.595,82.924,17.327,3,52.441,0.0,82.398,19.93,29.795,-0.7,29.409,30.111,31.392,10834
2025,59680162B34366982763718,Ado,Benue,North Central,6.764,8.021,36362,1,67.358,74.842,1.291,69.189,63.413,75.582,12.259,3,32.357,18.482,83.272,14.882,31.392,-0.87,30.913,31.784,,11415
2020,59680162B34682847069002,Gwagwalada,FCT,North Central,9.076,7.045,55579,1,66.628,57.253,0.516,62.045,51.065,63.648,16.05,0,64.476,4.387,68.977,12.907,33.658,0.69,34.035,33.349,25.588,18707
2021,59680162B34682847069002,Gwagwalada,FCT,North Central,9.076,7.045,55579,1,69.237,68.668,1.051,33.477,62.917,72.763,33.671,1,46.028,0.0,79.067,26.435,25.588,1.05,26.164,25.116,17.362,14221
2022,59680162B34682847069002,Gwagwalada,FCT,North Central,9.076,7.045,55579,1,64.361,73.029,1.333,34.289,56.585,76.902,12.204,2,50.115,15.437,99.0,14.123,17.362,-0.97,16.827,17.801,25.444,9650
2023,59680162B34682847069002,Gwagwalada,FCT,North Central,9.076,7.045,55579,1,59.903,71.095,2.405,37.128,58.932,88.853,15.279,4,47.506,0.782,81.002,18.986,25.444,-0.41,25.22,25.627,23.936,14141
2024,59680162B34682847069002,Gwagwalada,FCT,North Central,9.076,7.045,55579,1,61.016,61.266,0.454,52.471,57.034,85.872,12.115,2,58.077,3.368,98.882,19.509,23.936,0.39,24.149,23.762,23.448,13303
2025,59680162B34682847069002,Gwagwalada,FCT,North Central,9.076,7.045,55579,1,73.046,58.51,1.687,41.157,59.534,74.069,7.83,1,56.904,17.301,89.482,41.304,23.448,-0.08,23.401,23.486,,13032
2020,59680162B34726688570577,Oruk Anam,Akwa Ibom,South South,4.824,7.695,8067,0,73.981,65.159,2.455,27.69,55.69,79.211,7.005,2,60.231,0.0,87.552,30.754,10.803,-0.79,10.368,11.158,28.634,871
2021,59680162B34726688570577,Oruk Anam,Akwa Ibom,South South,4.824,7.695,8067,0,75.723,69.29,4.67,54.768,73.99,46.109,27.97,2,54.951,0.0,80.696,40.45,28.634,-2.93,27.024,29.952,19.442,2310
2022,59680162B34726688570577,Oruk Anam,Akwa Ibom,South South,4.824,7.695,8067,0,75.377,99.0,3.894,40.89,63.459,53.695,0.5,0,71.428,0.0,92.325,18.471,19.442,-3.0,17.792,20.792,17.315,1568
2023,59680162B34726688570577,Oruk Anam,Akwa Ibom,South South,4.824,7.695,8067,0,70.776,96.499,1.339,45.995,62.5,61.785,20.176,2,35.226,11.692,90.254,38.297,17.315,0.03,17.33,17.303,25.46,1397
2024,59680162B34726688570577,Oruk Anam,Akwa Ibom,South South,4.824,7.695,8067,0,66.262,85.123,1.711,23.436,55.023,61.099,13.327,0,43.499,15.975,56.668,20.06,25.46,-0.52,25.173,25.694,28.298,2054
2025,59680162B34726688570577,Oruk Anam,Akwa Ibom,South South,4.824,7.695,8067,0,63.072,93.402,2.497,47.972,71.307,57.748,30.455,1,58.739,11.918,80.639,19.044,28.298,0.03,28.316,28.283,,2283
2020,59680162B34961354684930,Maiyama,Kebbi,North West,12.009,4.297,20933,0,86.956,34.614,3.069,58.335,30.001,33.56,42.883,1,69.376,36.4,52.237,13.734,49.104,0.91,49.607,48.692,65.523,10279
2021,59680162B34961354684930,Maiyama,Kebbi,North West,12.009,4.297,20933,0,83.335,31.584,5.239,53.68,23.184,25.196,40.06,1,77.076,40.276,38.349,21.621,65.523,4.04,67.748,63.703,54.398,13716
2022,59680162B34961354684930,Maiyama,Kebbi,North West,12.009,4.297,20933,0,96.463,24.248,4.247,64.702,31.054,54.075,20.174,1,50.183,21.664,42.487,20.152,54.398,1.45,55.193,53.747,52.089,11387
2023,59680162B34961354684930,Maiyama,Kebbi,North West,12.009,4.297,20933,0,82.608,30.604,4.418,58.242,25.948,28.144,26.896,0,66.272,45.366,46.975,16.686,52.089,2.52,53.474,50.955,59.01,10904
2024,59680162B34961354684930,Maiyama,Kebbi,North West,12.009,4.297,20933,0,96.675,42.094,2.686,71.628,34.37,23.354,33.324,0,42.343,30.96,40.341,25.359,59.01,2.84,60.57,57.734,52.519,12353
2025,59680162B34961354684930,Maiyama,Kebbi,North West,12.009,4.297,20933,0,86.716,24.854,5.322,89.781,52.889,25.147,25.636,1,57.504,33.572,23.488,32.573,52.519,1.84,53.53,51.692,,10994
2020,59680162B35305934518280,Keffi,Nasarawa,North Central,8.836,7.833,155912,0,68.234,64.525,5.163,46.279,36.251,51.545,19.769,1,29.137,22.496,90.318,29.559,37.088,0.85,37.554,36.707,28.438,57825
2021,59680162B35305934518280,Keffi,Nasarawa,North Central,8.836,7.833,155912,0,70.095,61.652,3.905,41.346,53.759,74.015,16.631,1,58.734,27.897,67.392,9.487,28.438,1.35,29.183,27.829,23.367,44339
2022,59680162B35305934518280,Keffi,Nasarawa,North Central,8.836,7.833,155912,0,79.34,62.248,1.619,45.566,47.979,74.657,26.592,1,55.181,7.464,75.337,15.162,23.367,1.39,24.132,22.741,30.063,36432
2023,59680162B35305934518280,Keffi,Nasarawa,North Central,8.836,7.833,155912,0,78.691,52.09,3.117,35.88,42.922,61.058,16.786,3,51.549,0.0,51.825,17.669,30.063,-3.0,28.413,31.413,28.036,46872
2024,59680162B35305934518280,Keffi,Nasarawa,North Central,8.836,7.833,155912,0,68.074,79.361,3.528,42.644,58.47,64.767,24.341,1,57.208,0.0,54.548,26.983,28.036,0.7,28.42,27.721,24.856,43711
2025,59680162B35305934518280,Keffi,Nasarawa,North Central,8.836,7.833,155912,0,67.331,45.184,2.275,41.915,60.967,76.235,21.013,1,57.366,10.781,58.892,17.092,24.856,-0.06,24.826,24.882,,38754
2020,59680162B35426409409773,Isiala Mbano,Imo,South East,5.667,7.114,84020,0,68.808,86.873,1.967,30.385,70.36,90.07,13.062,0,38.884,0.0,80.453,36.573,13.411,-3.0,11.761,14.761,3.842,11268
2021,59680162B35426409409773,Isiala Mbano,Imo,South East,5.667,7.114,84020,0,63.427,72.206,1.225,34.748,78.633,93.886,4.923,0,49.776,4.888,84.4,24.267,3.842,-3.0,2.192,5.192,15.687,3228
2022,59680162B35426409409773,Isiala Mbano,Imo,South East,5.667,7.114,84020,0,68.682,84.777,2.096,43.365,65.226,68.912,14.232,0,29.617,0.0,84.556,36.979,15.687,0.17,15.782,15.609,13.136,13180
2023,59680162B35426409409773,Isiala Mbano,Imo,South East,5.667,7.114,84020,0,67.291,79.378,0.21,27.095,73.803,66.302,19.302,0,25.664,0.0,73.204,21.561,13.136,-0.95,12.616,13.561,3.245,11037
2024,59680162B35426409409773,Isiala Mbano,Imo,South East,5.667,7.114,84020,0,71.74,88.878,0.861,37.686,79.764,75.27,0.5,0,14.813,0.0,78.543,29.969,3.245,0.15,3.325,3.179,9.081,2726
2025,59680162B35426409409773,Isiala Mbano,Imo,South East,5.667,7.114,84020,0,65.517,86.404,0.2,37.318,96.377,81.907,4.069,1,31.836,0.0,93.62,32.649,9.081,-2.9,7.484,10.388,,7630
2020,59680162B35628626888177,Dandi,Kebbi,North West,11.851,3.798,31761,0,78.539,38.203,4.966,35.981,9.987,47.786,33.757,1,49.571,29.411,45.728,13.308,40.986,2.14,42.163,40.023,45.74,13018
2021,59680162B35628626888177,Dandi,Kebbi,North West,11.851,3.798,31761,0,84.337,31.674,5.002,64.991,26.356,39.932,35.856,0,62.159,37.888,41.211,13.366,45.74,2.3,47.007,44.703,47.159,14528
2022,59680162B35628626888177,Dandi,Kebbi,North West,11.851,3.798,31761,0,90.135,42.745,3.833,80.286,37.599,59.796,32.906,2,73.361,39.46,61.966,17.976,47.159,-0.51,46.878,47.388,52.944,14978
2023,59680162B35628626888177,Dandi,Kebbi,North West,11.851,3.798,31761,0,82.582,44.199,5.651,56.77,27.302,12.835,32.37,3,48.581,37.433,36.915,30.383,52.944,2.78,54.471,51.694,51.279,16816
2024,59680162B35628626888177,Dandi,Kebbi,North West,11.851,3.798,31761,0,80.149,35.133,5.759,66.924,38.945,35.746,25.143,0,78.624,26.804,54.466,23.047,51.279,1.8,52.267,50.47,39.11,16287
2025,59680162B35628626888177,Dandi,Kebbi,North West,11.851,3.798,31761,0,87.601,49.771,3.542,67.867,36.513,56.117,18.376,2,60.17,24.886,49.56,39.758,39.11,3.32,40.937,37.616,,12422
2020,59680162B35636298384814,Lau,Taraba,North East,9.204,11.464,29935,1,76.414,41.76,4.322,62.076,35.362,49.562,31.896,7,82.73,24.766,45.806,15.229,51.465,-0.94,50.951,51.886,45.668,15406
2021,59680162B35636298384814,Lau,Taraba,North East,9.204,11.464,29935,1,79.952,28.664,4.11,72.209,54.698,23.24,27.573,7,60.787,18.615,65.634,20.97,45.668,1.18,46.314,45.139,43.989,13671
2022,59680162B35636298384814,Lau,Taraba,North East,9.204,11.464,29935,1,81.42,49.85,2.677,55.365,42.518,67.849,16.623,3,79.468,31.164,59.501,13.396,43.989,2.57,45.402,42.834,40.247,13168
2023,59680162B35636298384814,Lau,Taraba,North East,9.204,11.464,29935,1,84.807,40.795,3.386,59.435,47.127,65.879,21.141,1,56.486,21.097,68.933,13.949,40.247,0.26,40.391,40.13,42.397,12048
2024,59680162B35636298384814,Lau,Taraba,North East,9.204,11.464,29935,1,79.099,74.252,1.698,48.549,23.52,42.232,19.392,5,55.242,7.652,61.692,18.248,42.397,0.04,42.419,42.378,29.144,12691
2025,59680162B35636298384814,Lau,Taraba,North East,9.204,11.464,29935,1,82.721,41.759,2.742,56.79,60.901,56.628,18.016,4,78.054,22.108,74.781,20.139,29.144,0.97,29.678,28.708,,8724
2020,59680162B35701990596564,Ivo,Ebonyi,South East,5.918,7.615,20337,1,63.175,99.0,0.552,42.897,99.0,95.678,12.287,0,17.302,0.0,80.757,32.409,8.573,-0.88,8.087,8.97,4.706,1743
2021,59680162B35701990596564,Ivo,Ebonyi,South East,5.918,7.615,20337,1,54.868,93.473,0.2,42.643,94.32,47.998,5.904,1,41.021,0.0,99.0,40.713,4.706,0.28,4.858,4.581,7.134,957
2022,59680162B35701990596564,Ivo,Ebonyi,South East,5.918,7.615,20337,1,60.272,95.595,1.245,45.667,71.487,94.012,5.283,0,57.688,0.0,72.395,25.084,7.134,-0.99,6.588,7.581,6.305,1451
2023,59680162B35701990596564,Ivo,Ebonyi,South East,5.918,7.615,20337,1,65.812,99.0,0.266,25.829,80.189,70.759,0.5,1,34.991,0.0,99.0,18.446,6.305,-1.74,5.347,7.088,9.658,1282
2024,59680162B35701990596564,Ivo,Ebonyi,South East,5.918,7.615,20337,1,54.618,92.187,2.437,21.176,76.834,99.0,5.972,0,41.504,0.0,99.0,33.591,9.658,-0.33,9.476,9.806,5.881,1964
2025,59680162B35701990596564,Ivo,Ebonyi,South East,5.918,7.615,20337,1,58.075,94.05,0.2,17.25,86.156,99.0,8.273,1,32.738,1.785,90.542,20.537,5.881,-2.25,4.645,6.893,,1196
2020,59680162B35912483761792,Etsako West,Edo,South South,7.005,6.288,37666,1,62.946,95.377,1.732,25.046,74.542,87.904,13.974,1,50.874,2.424,93.709,26.884,7.691,-2.56,6.282,8.844,14.284,2897
2021,59680162B35912483761792,Etsako West,Edo,South South,7.005,6.288,37666,1,71.646,77.955,2.545,18.971,75.343,65.989,10.464,1,58.995,0.0,86.822,23.948,14.284,-0.45,14.038,14.485,15.831,5380
2022,59680162B35912483761792,Etsako West,Edo,South South,7.005,6.288,37666,1,65.797,92.65,1.247,41.226,92.35,72.459,14.802,1,35.245,0.0,84.091,28.631,15.831,-1.69,14.9,16.592,9.052,5963
2023,59680162B35912483761792,Etsako West,Edo,South South,7.005,6.288,37666,1,56.606,98.295,1.064,42.929,83.654,78.641,9.725,1,41.717,0.0,99.0,18.781,9.052,-2.57,7.637,10.209,10.416,3409
2024,59680162B35912483761792,Etsako West,Edo,South South,7.005,6.288,37666,1,58.263,94.622,0.873,50.259,79.967,92.708,5.089,0,43.845,0.0,84.734,19.59,10.416,1.13,11.038,9.907,3.544,3923
2025,59680162B35912483761792,Etsako West,Edo,South South,7.005,6.288,37666,1,60.212,94.858,1.909,40.121,97.194,85.088,4.93,0,45.77,0.0,90.361,25.471,3.544,-1.76,2.575,4.336,,1335
2020,59680162B35933805912396,Mopa-Muro,Kogi,North Central,8.145,5.911,30271,0,63.193,48.959,2.734,41.69,43.925,70.199,24.704,3,54.89,18.923,71.784,23.792,26.461,1.15,27.095,25.943,29.421,8010
2021,59680162B35933805912396,Mopa-Muro,Kogi,North Central,8.145,5.911,30271,0,76.816,69.968,1.242,31.25,50.725,52.025,29.964,4,36.385,24.292,61.541,23.386,29.421,-1.07,28.832,29.903,35.444,8906
2022,59680162B35933805912396,Mopa-Muro,Kogi,North Central,8.145,5.911,30271,0,74.74,60.417,3.004,44.868,65.03,41.096,24.293,4,63.048,18.124,54.072,13.126,35.444,0.66,35.807,35.147,36.583,10729
2023,59680162B35933805912396,Mopa-Muro,Kogi,North Central,8.145,5.911,30271,0,67.66,65.568,4.705,40.665,27.627,64.183,27.441,1,54.48,10.674,84.454,17.395,36.583,0.03,36.599,36.57,23.035,11074
2024,59680162B35933805912396,Mopa-Muro,Kogi,North Central,8.145,5.911,30271,0,75.775,52.666,4.838,36.415,60.632,70.637,12.217,1,44.079,0.0,54.223,23.491,23.035,-1.51,22.206,23.713,32.609,6973
2025,59680162B35933805912396,Mopa-Muro,Kogi,North Central,8.145,5.911,30271,0,73.619,56.426,4.461,25.551,64.279,53.944,18.187,2,71.818,1.512,67.348,21.456,32.609,-0.73,32.207,32.938,,9871
2020,59680162B36028411577107,Guzamala,Borno,North East,12.858,13.181,19836,0,92.736,28.633,4.482,42.662,33.753,50.46,30.378,7,62.22,24.007,38.951,20.639,59.172,2.52,60.559,58.037,45.053,11737
2021,59680162B36028411577107,Guzamala,Borno,North East,12.858,13.181,19836,0,95.905,32.455,2.776,75.959,24.112,57.09,28.95,2,62.062,21.133,56.242,21.332,45.053,-1.0,44.503,45.503,56.085,8937
2022,59680162B36028411577107,Guzamala,Borno,North East,12.858,13.181,19836,0,90.742,46.134,2.562,66.342,19.616,50.055,47.786,7,77.784,28.104,50.782,12.059,56.085,1.44,56.877,55.437,45.471,11125
2023,59680162B36028411577107,Guzamala,Borno,North East,12.858,13.181,19836,0,93.078,41.962,3.088,47.052,20.786,53.921,22.939,4,66.977,33.504,33.072,16.657,45.471,0.59,45.798,45.204,43.937,9020
2024,59680162B36028411577107,Guzamala,Borno,North East,12.858,13.181,19836,0,90.076,43.536,2.734,60.864,42.088,49.734,20.518,2,55.339,20.663,46.42,16.859,43.937,2.03,45.056,43.022,47.77,8715
2025,59680162B36028411577107,Guzamala,Borno,North East,12.858,13.181,19836,0,89.355,40.015,4.775,48.29,47.885,49.617,32.782,7,76.814,19.22,60.582,17.973,47.77,2.76,49.287,46.528,,9476
2020,59680162B36139632039116,Ijebu North East,Ogun,South West,6.879,4.01,116769,1,40.427,83.905,1.68,48.901,95.316,99.0,5.881,0,14.104,0.0,87.504,45.555,1.671,1.37,2.427,1.052,13.259,1951
2021,59680162B36139632039116,Ijebu North East,Ogun,South West,6.879,4.01,116769,1,46.27,94.56,1.835,54.812,87.214,82.098,15.7,0,29.958,0.0,99.0,16.692,13.259,-2.1,12.103,14.206,5.619,15483
2022,59680162B36139632039116,Ijebu North East,Ogun,South West,6.879,4.01,116769,1,50.312,96.38,2.155,39.085,82.343,74.685,8.074,0,41.971,7.106,99.0,30.918,5.619,-1.59,4.742,6.337,11.567,6562
2023,59680162B36139632039116,Ijebu North East,Ogun,South West,6.879,4.01,116769,1,59.595,85.043,0.2,36.573,55.109,83.815,7.716,2,34.225,0.0,87.699,20.812,11.567,-0.03,11.553,11.578,0.8,13506
2024,59680162B36139632039116,Ijebu North East,Ogun,South West,6.879,4.01,116769,1,48.72,93.364,0.2,20.866,91.331,92.662,0.5,2,39.702,0.0,79.375,25.931,0.8,-1.9,0.5,1.657,8.936,934
2025,59680162B36139632039116,Ijebu North East,Ogun,South West,6.879,4.01,116769,1,54.194,98.953,0.457,43.355,94.153,99.0,3.778,0,56.449,0.0,83.888,29.649,8.936,1.24,9.62,8.376,,10434
2020,59680162B36149280961759,Nsukka,Enugu,South East,6.832,7.375,55734,1,58.753,99.0,0.542,38.471,73.465,99.0,12.476,0,37.259,1.985,99.0,22.668,2.873,-2.12,1.705,3.829,15.006,1601
2021,59680162B36149280961759,Nsukka,Enugu,South East,6.832,7.375,55734,1,61.805,79.308,0.2,20.616,79.705,80.813,0.5,1,29.092,0.0,93.892,16.135,15.006,-0.72,14.612,15.329,13.078,8364
2022,59680162B36149280961759,Nsukka,Enugu,South East,6.832,7.375,55734,1,62.181,99.0,1.809,35.417,71.406,88.804,4.742,0,59.102,0.0,99.0,41.724,13.078,-1.74,12.121,13.862,8.477,7289
2023,59680162B36149280961759,Nsukka,Enugu,South East,6.832,7.375,55734,1,52.876,99.0,0.566,28.875,77.529,89.832,0.5,1,26.345,5.258,85.951,26.226,8.477,-3.0,6.827,9.827,7.096,4725
2024,59680162B36149280961759,Nsukka,Enugu,South East,6.832,7.375,55734,1,58.866,99.0,0.2,21.352,99.0,99.0,2.714,1,25.689,0.0,86.701,23.291,7.096,-1.46,6.291,7.755,2.881,3955
2025,59680162B36149280961759,Nsukka,Enugu,South East,6.832,7.375,55734,1,56.015,93.177,0.667,29.737,88.663,99.0,8.81,0,29.764,5.873,99.0,40.743,2.881,-0.99,2.338,3.325,,1606
2020,59680162B36304665045822,Emuoha,Rivers,South South,4.924,6.781,37759,1,69.555,88.541,2.192,29.42,72.604,69.672,0.5,0,50.37,0.0,91.472,15.9,11.896,-2.55,10.493,13.044,2.734,4492
2021,59680162B36304665045822,Emuoha,Rivers,South South,4.924,6.781,37759,1,55.179,99.0,0.2,43.124,84.611,91.8,8.727,2,56.989,0.0,83.122,30.991,2.734,-2.57,1.322,3.889,11.147,1032
2022,59680162B36304665045822,Emuoha,Rivers,South South,4.924,6.781,37759,1,61.61,84.982,0.994,37.495,97.367,67.341,11.946,0,63.458,0.0,65.016,25.825,11.147,2.22,12.367,10.15,16.824,4209
2023,59680162B36304665045822,Emuoha,Rivers,South South,4.924,6.781,37759,1,52.834,87.549,1.53,44.625,70.732,73.034,2.743,3,54.93,0.294,68.561,22.574,16.824,-1.52,15.991,17.506,11.896,6353
2024,59680162B36304665045822,Emuoha,Rivers,South South,4.924,6.781,37759,1,64.076,90.143,0.423,51.748,82.569,72.528,9.232,0,58.8,0.0,73.138,25.338,11.896,0.96,12.425,11.464,24.965,4492
2025,59680162B36304665045822,Emuoha,Rivers,South South,4.924,6.781,37759,1,66.233,99.0,0.815,43.73,46.858,69.738,7.824,1,67.928,8.002,79.525,23.814,24.965,0.45,25.214,24.762,,9427
2020,59680162B36423706884187,Odukpani,Cross River,South South,5.246,8.098,37798,0,62.29,85.431,1.421,54.465,60.471,62.229,23.934,1,63.332,0.0,74.662,21.036,21.274,-0.57,20.96,21.531,25.409,8041
2021,59680162B36423706884187,Odukpani,Cross River,South South,5.246,8.098,37798,0,63.309,72.137,4.176,35.019,52.571,42.951,17.498,1,51.222,0.0,69.953,28.796,25.409,-0.66,25.044,25.707,27.791,9604
2022,59680162B36423706884187,Odukpani,Cross River,South South,5.246,8.098,37798,0,93.017,76.905,1.063,29.667,60.601,60.289,4.55,0,50.125,0.0,87.279,6.94,27.791,0.03,27.807,27.779,12.046,10505
2023,59680162B36423706884187,Odukpani,Cross River,South South,5.246,8.098,37798,0,65.105,80.224,1.546,43.86,75.115,87.294,0.5,0,58.506,0.383,63.546,39.697,12.046,-1.18,11.396,12.577,26.33,4553
2024,59680162B36423706884187,Odukpani,Cross River,South South,5.246,8.098,37798,0,71.28,87.499,3.348,35.899,69.925,69.394,16.717,3,52.517,0.0,83.649,41.251,26.33,-1.22,25.658,26.881,23.35,9952
2025,59680162B36423706884187,Odukpani,Cross River,South South,5.246,8.098,37798,0,65.846,72.285,1.49,37.864,64.954,70.465,7.069,1,58.185,0.0,64.629,22.009,23.35,-1.04,22.776,23.82,,8826
2020,59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,4.758,7.944,43817,1,50.973,82.182,1.432,37.457,58.17,74.814,13.618,0,53.99,0.0,72.499,24.871,13.969,-1.0,13.417,14.421,18.111,6121
2021,59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,4.758,7.944,43817,1,58.479,85.834,2.702,42.002,72.835,77.726,11.158,0,55.164,0.0,85.897,23.793,18.111,-1.34,17.373,18.715,12.708,7936
2022,59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,4.758,7.944,43817,1,53.466,89.934,1.626,34.581,71.056,99.0,9.586,2,80.15,0.0,99.0,31.153,12.708,-1.34,11.969,13.313,7.942,5568
2023,59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,4.758,7.944,43817,1,49.902,98.356,1.182,46.293,70.892,74.875,4.025,2,39.305,0.0,88.256,20.112,7.942,-2.57,6.53,9.097,17.622,3480
2024,59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,4.758,7.944,43817,1,59.759,69.673,0.625,41.527,79.311,97.518,16.019,2,43.204,2.88,84.616,18.994,17.622,-1.82,16.618,18.442,12.295,7721
2025,59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,4.758,7.944,43817,1,59.507,84.63,0.2,49.425,84.839,90.276,13.832,3,42.182,5.452,79.231,19.25,12.295,0.63,12.641,12.012,,5388
2020,59680162B36658267128816,Ethiope West,Delta,South South,5.909,5.778,25868,1,51.674,92.805,2.641,45.975,75.925,81.141,9.107,2,61.121,2.192,78.241,25.062,16.626,-1.23,15.95,17.179,13.498,4301
2021,59680162B36658267128816,Ethiope West,Delta,South South,5.909,5.778,25868,1,64.627,81.994,1.369,54.937,97.197,74.252,0.5,1,48.321,6.591,76.214,16.045,13.498,-0.24,13.368,13.604,15.184,3492
2022,59680162B36658267128816,Ethiope West,Delta,South South,5.909,5.778,25868,1,45.169,89.411,1.746,38.434,66.461,77.453,9.678,0,65.396,0.0,79.576,24.39,15.184,-2.21,13.97,16.178,16.63,3928
2023,59680162B36658267128816,Ethiope West,Delta,South South,5.909,5.778,25868,1,53.624,80.4,1.205,36.806,88.498,89.06,3.137,3,39.238,0.0,90.603,24.526,16.63,-0.82,16.182,16.997,12.742,4302
2024,59680162B36658267128816,Ethiope West,Delta,South South,5.909,5.778,25868,1,65.753,66.326,1.471,28.071,63.99,70.078,0.861,0,45.984,0.0,82.319,28.145,12.742,1.58,13.61,12.033,24.586,3296
2025,59680162B36658267128816,Ethiope West,Delta,South South,5.909,5.778,25868,1,58.02,79.21,0.2,36.615,61.904,70.745,15.807,2,45.472,0.0,99.0,21.017,24.586,1.03,25.155,24.12,,6360
